Ranking;Title;Director;genre_action;genre_adventure;genre_comedy;genre_crime;genre_drama;genre_fantasy;genre_horror;genre_mystery;genre_romance;genre_sci-fi;genre_thriller;Actor 1;Actor 2;Actor 3;Actor 4;Year;Runtime (Minutes);Rating;Votes;Revenue (Millions);Metascore
43;Don't Fuck in the Woods;Shawn Burkett;no;no;no;no;no;no;yes;no;no;no;no;Brittany Blanton;Ayse Howard;Roman Jossart;Nadia White;2016;73;2.7;496;;
44;The Founder;John Lee Hancock;no;no;no;no;yes;no;no;no;no;no;no;Michael Keaton;Nick Offerman;John Carroll Lynch;Linda Cardellini;2016;115;7.2;37033;12.79;66
45;Lowriders;Ricardo de Montreuil;no;no;no;no;yes;no;no;no;no;no;no;Gabriel Chavarria;Demián Bichir;Theo Rossi;Tony Revolori;2016;99;6.3;279;4.21;57
46;Pirates of the Caribbean: On Stranger Tides;Rob Marshall;yes;yes;no;no;no;yes;no;no;no;no;no;Johnny Depp;Penélope Cruz;Ian McShane;Geoffrey Rush;2011;136;6.7;395025;241.06;45
47;Miss Sloane;John Madden;no;no;no;no;yes;no;no;no;no;no;yes;Jessica Chastain;Mark Strong;Gugu Mbatha-Raw;Michael Stuhlbarg;2016;132;7.3;17818;3.44;64
48;Fallen;Scott Hicks;no;yes;no;no;yes;yes;no;no;no;no;no;Hermione Corfield;Addison Timlin;Joely Richardson;Jeremy Irvine;2016;91;5.6;5103;;
49;Star Trek Beyond;Justin Lin;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Pine;Zachary Quinto;Karl Urban;Zoe Saldana;2016;122;7.1;164567;158.8;68
50;The Last Face;Sean Penn;no;no;no;no;yes;no;no;no;no;no;no;Charlize Theron;Javier Bardem;Adèle Exarchopoulos;Jared Harris;2016;130;3.7;987;;16
51;Star Wars: Episode VII - The Force Awakens;J.J. Abrams;yes;yes;no;no;no;yes;no;no;no;no;no;Daisy Ridley;John Boyega;Oscar Isaac;Domhnall Gleeson;2015;136;8.1;661608;936.63;81
52;Underworld: Blood Wars;Anna Foerster;yes;yes;no;no;no;yes;no;no;no;no;no;Kate Beckinsale;Theo James;Tobias Menzies;Lara Pulver;2016;91;5.8;41362;30.35;23
53;Mother's Day;Garry Marshall;no;no;yes;no;yes;no;no;no;no;no;no;Jennifer Aniston;Kate Hudson;Julia Roberts;Jason Sudeikis;2016;118;5.6;20221;32.46;18
54;John Wick;Chad Stahelski;yes;no;no;yes;no;no;no;no;no;no;yes;Keanu Reeves;Michael Nyqvist;Alfie Allen;Willem Dafoe;2014;101;7.2;321933;43;68
55;The Dark Knight;Christopher Nolan;yes;no;no;yes;yes;no;no;no;no;no;no;Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;2008;152;9;1791916;533.32;82
56;Silence;Martin Scorsese;no;yes;no;no;yes;no;no;no;no;no;no;Andrew Garfield;Adam Driver;Liam Neeson;Tadanobu Asano;2016;161;7.3;49190;7.08;79
57;Don't Breathe;Fede Alvarez;no;no;no;yes;no;no;yes;no;no;no;yes;Stephen Lang;Jane Levy;Dylan Minnette;Daniel Zovatto;2016;88;7.2;121103;89.21;71
58;Me Before You;Thea Sharrock;no;no;no;no;yes;no;no;no;yes;no;no;Emilia Clarke;Sam Claflin;Janet McTeer;Charles Dance;2016;106;7.4;113322;56.23;51
59;Their Finest;Lone Scherfig;no;no;yes;no;yes;no;no;no;yes;no;no;Gemma Arterton;Sam Claflin;Bill Nighy;Jack Huston;2016;117;7;3739;3.18;76
60;Sully;Clint Eastwood;no;no;no;no;yes;no;no;no;no;no;no;Tom Hanks;Aaron Eckhart;Laura Linney;Valerie Mahaffey;2016;96;7.5;137608;125.07;74
61;Batman v Superman: Dawn of Justice;Zack Snyder;yes;yes;no;no;no;no;no;no;no;yes;no;Ben Affleck;Henry Cavill;Amy Adams;Jesse Eisenberg;2016;151;6.7;472307;330.25;44
62;The Autopsy of Jane Doe;AndrÃ© Ã˜vredal;no;no;no;no;no;no;yes;yes;no;no;yes;Brian Cox;Emile Hirsch;Ophelia Lovibond;Michael McElhatton;2016;86;6.8;35870;;65
63;The Girl on the Train;Tate Taylor;no;no;no;yes;yes;no;no;yes;no;no;no;Emily Blunt;Haley Bennett;Rebecca Ferguson;Justin Theroux;2016;112;6.5;102177;75.31;48
64;Fifty Shades of Grey;Sam Taylor-Johnson;no;no;no;no;yes;no;no;no;yes;no;yes;Dakota Johnson;Jamie Dornan;Jennifer Ehle;Eloise Mumford;2015;125;4.1;244474;166.15;46
65;The Prestige;Christopher Nolan;no;no;no;no;yes;no;no;yes;no;yes;no;Christian Bale;Hugh Jackman;Scarlett Johansson;Michael Caine;2006;130;8.5;913152;53.08;66
66;Kingsman: The Secret Service;Matthew Vaughn;yes;yes;yes;no;no;no;no;no;no;no;no;Colin Firth;Taron Egerton;Samuel L. Jackson;Michael Caine;2014;129;7.7;440209;128.25;58
67;Patriots Day;Peter Berg;no;no;no;no;yes;no;no;no;no;no;yes;Mark Wahlberg;Michelle Monaghan;J.K. Simmons;John Goodman;2016;133;7.4;39784;31.86;69
68;Mad Max: Fury Road;George Miller;yes;yes;no;no;no;no;no;no;no;yes;no;Tom Hardy;Charlize Theron;Nicholas Hoult;Zoë Kravitz;2015;120;8.1;632842;153.63;90
69;Wakefield;Robin Swicord;no;no;no;no;yes;no;no;no;no;no;no;Bryan Cranston;Jennifer Garner;Beverly D'Angelo;Jason O'Mara;2016;106;7.5;291;0.01;61
70;Deepwater Horizon;Peter Berg;yes;no;no;no;yes;no;no;no;no;no;yes;Mark Wahlberg;Kurt Russell;Douglas M. Griffin;James DuMont;2016;107;7.2;89849;61.28;68
71;The Promise;Terry George;no;no;no;no;yes;no;no;no;no;no;no;Oscar Isaac;Charlotte Le Bon;Christian Bale;Daniel Giménez Cacho;2016;133;5.9;149791;;49
72;Allied;Robert Zemeckis;yes;no;no;no;yes;no;no;no;yes;no;no;Brad Pitt;Marion Cotillard;Jared Harris;Vincent Ebrahim;2016;124;7.1;78079;40.07;60
73;A Monster Calls;J.A. Bayona;no;no;no;no;yes;yes;no;no;no;no;no;Lewis MacDougall;Sigourney Weaver;Felicity Jones;Toby Kebbell;2016;108;7.5;39134;3.73;76
74;Collateral Beauty;David Frankel;no;no;no;no;yes;no;no;no;yes;no;no;Will Smith;Edward Norton;Kate Winslet;Michael Peña;2016;97;6.8;43977;30.98;23
75;Zootopia;Byron Howard;no;yes;yes;no;no;no;no;no;no;no;no;Ginnifer Goodwin;Jason Bateman;Idris Elba;Jenny Slate;2016;108;8.1;296853;341.26;78
76;Pirates of the Caribbean: At World's End;Gore Verbinski;yes;yes;no;no;no;yes;no;no;no;no;no;Johnny Depp;Orlando Bloom;Keira Knightley;Geoffrey Rush;2007;169;7.1;498821;309.4;50
77;The Avengers;Joss Whedon;yes;no;no;no;no;no;no;no;no;yes;no;Robert Downey Jr.;Chris Evans;Scarlett Johansson;Jeremy Renner;2012;143;8.1;1045588;623.28;69
78;Inglourious Basterds;Quentin Tarantino;no;yes;no;no;yes;no;no;no;no;no;no;Brad Pitt;Diane Kruger;Eli Roth;Mélanie Laurent;2009;153;8.3;959065;120.52;69
79;Pirates of the Caribbean: Dead Man's Chest;Gore Verbinski;yes;yes;no;no;no;yes;no;no;no;no;no;Johnny Depp;Orlando Bloom;Keira Knightley;Jack Davenport;2006;151;7.3;552027;423.03;53
80;Ghostbusters;Paul Feig;yes;no;yes;no;no;yes;no;no;no;no;no;Melissa McCarthy;Kristen Wiig;Kate McKinnon;Leslie Jones;2016;116;5.3;147717;128.34;60
81;Inception;Christopher Nolan;yes;yes;no;no;no;no;no;no;no;yes;no;Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page;Ken Watanabe;2010;148;8.8;1583625;292.57;74
82;Captain Fantastic;Matt Ross;no;no;yes;no;yes;no;no;no;no;no;no;Viggo Mortensen;George MacKay;Samantha Isler;Annalise Basso;2016;118;7.9;105081;5.88;72
83;The Wolf of Wall Street;Martin Scorsese;no;no;yes;yes;no;no;no;no;no;no;no;Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey;2013;180;8.2;865134;116.87;75
84;Gone Girl;David Fincher;no;no;no;yes;yes;no;no;yes;no;no;no;Ben Affleck;Rosamund Pike;Neil Patrick Harris;Tyler Perry;2014;149;8.1;636243;167.74;79
85;Furious Seven;James Wan;yes;no;no;yes;no;no;no;no;no;no;yes;Vin Diesel;Paul Walker;Dwayne Johnson;Jason Statham;2015;137;7.2;301249;350.03;67
86;Jurassic World;Colin Trevorrow;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Pratt;Bryce Dallas Howard;Ty Simpkins;Judy Greer;2015;124;7;455169;652.18;59
87;Live by Night;Ben Affleck;no;no;no;yes;yes;no;no;no;no;no;no;Ben Affleck;Elle Fanning;Brendan Gleeson;Chris Messina;2016;129;6.4;27869;10.38;49
88;Avatar;James Cameron;yes;yes;no;no;no;yes;no;no;no;no;no;Sam Worthington;Zoe Saldana;Sigourney Weaver;Michelle Rodriguez;2009;162;7.8;935408;760.51;83
89;The Hateful Eight;Quentin Tarantino;no;no;no;yes;yes;no;no;yes;no;no;no;Samuel L. Jackson;Kurt Russell;Jennifer Jason Leigh;Walton Goggins;2015;187;7.8;341170;54.12;68
90;The Accountant;Gavin O'Connor;yes;no;no;yes;yes;no;no;no;no;no;no;Ben Affleck;Anna Kendrick;J.K. Simmons;Jon Bernthal;2016;128;7.4;162122;86.2;51
91;Prisoners;Denis Villeneuve;no;no;no;yes;yes;no;no;yes;no;no;no;Hugh Jackman;Jake Gyllenhaal;Viola Davis;Melissa Leo;2013;153;8.1;431185;60.96;74
92;Warcraft;Duncan Jones;yes;yes;no;no;no;yes;no;no;no;no;no;Travis Fimmel;Paula Patton;Ben Foster;Dominic Cooper;2016;123;7;187547;47.17;32
93;The Help;Tate Taylor;no;no;no;no;yes;no;no;no;no;no;no;Emma Stone;Viola Davis;Octavia Spencer;Bryce Dallas Howard;2011;146;8.1;342429;169.71;62
94;War Dogs;Todd Phillips;no;no;yes;yes;yes;no;no;no;no;no;no;Jonah Hill;Miles Teller;Steve Lantz;Gregg Weiner;2016;114;7.1;106463;43.02;57
95;Avengers: Age of Ultron;Joss Whedon;yes;yes;no;no;no;no;no;no;no;yes;no;Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth;2015;141;7.4;516895;458.99;66
96;The Nice Guys;Shane Black;yes;no;yes;yes;no;no;no;no;no;no;no;Russell Crowe;Ryan Gosling;Angourie Rice;Matt Bomer;2016;116;7.4;175067;36.25;70
97;Kimi no na wa;Makoto Shinkai;no;no;no;no;yes;yes;no;no;no;no;no;Ryûnosuke Kamiki;Mone Kamishiraishi;Ryô Narita;Aoi Yuki;2016;106;8.6;34110;4.68;79
98;The Void;Jeremy Gillespie;no;no;no;no;no;no;yes;yes;no;yes;no;Aaron Poole;Kenneth Welsh;Daniel Fathers;Kathleen Munroe;2016;90;5.8;9247;0.15;62
99;Personal Shopper;Olivier Assayas;no;no;no;no;yes;no;no;yes;no;no;yes;Kristen Stewart;Lars Eidinger;Sigrid Bouaziz;Anders Danielsen Lie;2016;105;6.3;10181;1.29;77
100;The Departed;Martin Scorsese;no;no;no;yes;yes;no;no;no;no;no;yes;Leonardo DiCaprio;Matt Damon;Jack Nicholson;Mark Wahlberg;2006;151;8.5;937414;132.37;85
101;Legend;Brian Helgeland;no;no;no;yes;yes;no;no;no;no;no;no;Tom Hardy;Emily Browning;Taron Egerton;Paul Anderson;2015;132;7;108836;1.87;55
102;Thor;Kenneth Branagh;yes;yes;no;no;no;yes;no;no;no;no;no;Chris Hemsworth;Anthony Hopkins;Natalie Portman;Tom Hiddleston;2011;115;7;570814;181.02;57
103;The Martian;Ridley Scott;no;yes;no;no;yes;no;no;no;no;yes;no;Matt Damon;Jessica Chastain;Kristen Wiig;Kate Mara;2015;144;8;556097;228.43;80
104;Contratiempo;Oriol Paulo;no;no;no;yes;no;no;no;yes;no;no;yes;Mario Casas;Ana Wagener;José Coronado;Bárbara Lennie;2016;106;7.9;7204;;
105;The Man from U.N.C.L.E.;Guy Ritchie;yes;yes;yes;no;no;no;no;no;no;no;no;Henry Cavill;Armie Hammer;Alicia Vikander;Elizabeth Debicki;2015;116;7.3;202973;45.43;56
106;Hell or High Water;David Mackenzie;no;no;no;yes;yes;no;no;no;no;no;yes;Chris Pine;Ben Foster;Jeff Bridges;Gil Birmingham;2016;102;7.7;115546;26.86;88
107;The Comedian;Taylor Hackford;no;no;yes;no;no;no;no;no;no;no;no;Robert De Niro;Leslie Mann;Danny DeVito;Edie Falco;2016;120;5.4;1954;1.66;40
108;The Legend of Tarzan;David Yates;yes;yes;no;no;yes;no;no;no;no;no;no;Alexander Skarsgård;Rory J. Saper;Christian Stevens;Christoph Waltz;2016;110;6.3;117590;126.59;44
109;All We Had;Katie Holmes;no;no;no;no;yes;no;no;no;no;no;no;Eve Lindley;Richard Kind;Mark Consuelos;Katherine Reis;2016;105;5.8;1004;;48
110;Ex Machina;Alex Garland;no;no;no;no;yes;no;no;yes;no;yes;no;Alicia Vikander;Domhnall Gleeson;Oscar Isaac;Sonoya Mizuno;2014;108;7.7;339797;25.44;78
111;The Belko Experiment;Greg McLean;yes;no;no;no;no;no;yes;no;no;no;yes;John Gallagher Jr.;Tony Goldwyn;Adria Arjona;John C. McGinley;2016;89;6.3;3712;10.16;44
112;12 Years a Slave;Steve McQueen;no;no;no;no;yes;no;no;no;no;no;no;Chiwetel Ejiofor;Michael Kenneth Williams;Michael Fassbender;Brad Pitt;2013;134;8.1;486338;56.67;96
113;The Bad Batch;Ana Lily Amirpour;no;no;no;no;no;no;no;no;yes;yes;no;Keanu Reeves;Jason Momoa;Jim Carrey;Diego Luna;2016;118;6.1;512;;65
114;300;Zack Snyder;yes;no;no;no;no;yes;no;no;no;no;no;Gerard Butler;Lena Headey;David Wenham;Dominic West;2006;117;7.7;637104;210.59;52
115;Harry Potter and the Deathly Hallows: Part 2;David Yates;no;yes;no;no;yes;yes;no;no;no;no;no;Daniel Radcliffe;Emma Watson;Rupert Grint;Michael Gambon;2011;130;8.1;590595;380.96;87
116;Office Christmas Party;Josh Gordon;no;no;yes;no;no;no;no;no;no;no;no;Jason Bateman;Olivia Munn;T.J. Miller;Jennifer Aniston;2016;105;5.8;30761;54.73;42
117;The Neon Demon;Nicolas Winding Refn;no;no;no;no;no;no;yes;no;no;no;yes;Elle Fanning;Christina Hendricks;Keanu Reeves;Karl Glusman;2016;118;6.2;50359;1.33;51
118;Dangal;Nitesh Tiwari;yes;no;no;no;yes;no;no;no;no;no;no;Aamir Khan;Sakshi Tanwar;Fatima Sana Shaikh;Sanya Malhotra;2016;161;8.8;48969;11.15;
119;10 Cloverfield Lane;Dan Trachtenberg;no;no;no;no;yes;no;yes;yes;no;no;no;John Goodman;Mary Elizabeth Winstead;John Gallagher Jr.;Douglas M. Griffin;2016;104;7.2;192968;71.9;76
120;Finding Dory;Andrew Stanton;no;yes;yes;no;no;no;no;no;no;no;no;Ellen DeGeneres;Albert Brooks;Ed O'Neill;Kaitlin Olson;2016;97;7.4;157026;486.29;77
121;Miss Peregrine's Home for Peculiar Children;Tim Burton;no;yes;no;no;yes;no;no;no;no;no;no;Eva Green;Asa Butterfield;Samuel L. Jackson;Judi Dench;2016;127;6.7;101058;87.24;57
122;Divergent;Neil Burger;no;yes;no;no;no;no;no;yes;no;yes;no;Shailene Woodley;Theo James;Kate Winslet;Jai Courtney;2014;139;6.7;362093;150.83;48
123;Mike and Dave Need Wedding Dates;Jake Szymanski;no;yes;yes;no;no;no;no;no;yes;no;no;Zac Efron;Adam Devine;Anna Kendrick;Aubrey Plaza;2016;98;6;53183;46.01;51
124;Boyka: Undisputed IV;Todor Chapkanov;yes;no;no;no;no;no;no;no;no;no;no;Scott Adkins;Teodora Duhovnikova;Alon Aboutboul;Julian Vergov;2016;86;7.4;10428;;
125;The Dark Knight Rises;Christopher Nolan;yes;no;no;no;no;no;no;no;no;no;yes;Christian Bale;Tom Hardy;Anne Hathaway;Gary Oldman;2012;164;8.5;1222645;448.13;78
126;The Jungle Book;Jon Favreau;no;yes;no;no;yes;no;no;no;no;no;no;Neel Sethi;Bill Murray;Ben Kingsley;Idris Elba;2016;106;7.5;198243;364;77
127;Transformers: Age of Extinction;Michael Bay;yes;yes;no;no;no;no;no;no;no;yes;no;Mark Wahlberg;Nicola Peltz;Jack Reynor;Stanley Tucci;2014;165;5.7;255483;245.43;32
128;Nerve;Henry Joost;no;yes;no;yes;no;no;no;yes;no;no;no;Emma Roberts;Dave Franco;Emily Meade;Miles Heizer;2016;96;6.6;69651;38.56;58
129;Mamma Mia!;Phyllida Lloyd;no;no;yes;no;no;no;no;no;no;no;no;Meryl Streep;Pierce Brosnan;Amanda Seyfried;Stellan Skarsgård;2008;108;6.4;153481;143.7;51
130;The Revenant;Alejandro GonzÃ¡lez IÃ±Ã¡rritu;no;yes;no;no;yes;no;no;no;no;no;yes;Leonardo DiCaprio;Tom Hardy;Will Poulter;Domhnall Gleeson;2015;156;8;499424;183.64;76
131;Fences;Denzel Washington;no;no;no;no;yes;no;no;no;no;no;no;Denzel Washington;Viola Davis;Stephen Henderson;Jovan Adepo;2016;139;7.3;50953;57.64;79
132;Into the Woods;Rob Marshall;no;yes;yes;no;yes;no;no;no;no;no;no;Anna Kendrick;Meryl Streep;Chris Pine;Emily Blunt;2014;125;6;109756;128;69
133;The Shallows;Jaume Collet-Serra;no;no;no;no;yes;no;yes;no;no;no;yes;Blake Lively;Óscar Jaenada;Angelo Josue Lozano Corzo;Brett Cullen;2016;86;6.4;78328;55.12;59
134;Whiplash;Damien Chazelle;no;no;no;no;yes;no;no;no;no;no;no;Miles Teller;J.K. Simmons;Melissa Benoist;Paul Reiser;2014;107;8.5;477276;13.09;88
135;Furious 6;Justin Lin;yes;no;no;yes;no;no;no;no;no;no;yes;Vin Diesel;Paul Walker;Dwayne Johnson;Michelle Rodriguez;2013;130;7.1;318051;238.67;61
136;The Place Beyond the Pines;Derek Cianfrance;no;no;no;yes;yes;no;no;no;no;no;yes;Ryan Gosling;Bradley Cooper;Eva Mendes;Craig Van Hook;2012;140;7.3;200090;21.38;68
137;No Country for Old Men;Ethan Coen;no;no;no;yes;yes;no;no;no;no;no;yes;Tommy Lee Jones;Javier Bardem;Josh Brolin;Woody Harrelson;2007;122;8.1;660286;74.27;91
138;The Great Gatsby;Baz Luhrmann;no;no;no;no;yes;no;no;no;yes;no;no;Leonardo DiCaprio;Carey Mulligan;Joel Edgerton;Tobey Maguire;2013;143;7.3;386102;144.81;55
139;Shutter Island;Martin Scorsese;no;no;no;no;no;no;no;yes;no;no;yes;Leonardo DiCaprio;Emily Mortimer;Mark Ruffalo;Ben Kingsley;2010;138;8.1;855604;127.97;63
140;Brimstone;Martin Koolhoven;no;no;no;no;no;no;no;yes;no;no;yes;Dakota Fanning;Guy Pearce;Kit Harington;Carice van Houten;2016;148;7.1;13004;;44
141;Star Trek;J.J. Abrams;yes;yes;no;no;no;no;no;no;no;yes;no;Chris Pine;Zachary Quinto;Simon Pegg;Leonard Nimoy;2009;127;8;526324;257.7;82
142;Diary of a Wimpy Kid;Thor Freudenthal;no;no;yes;no;no;no;no;no;no;no;no;Zachary Gordon;Robert Capron;Rachael Harris;Steve Zahn;2010;94;6.2;34184;64;56
